2900003115009, 22002240, NO
2900000476042, 15110032, NO
2900000476042, 15110032, NO
1590140304506, 27400855, NO
1591014637324, 15110032, NO
1591015420000, 27002269, NO
2900000386440, 15130013, YES
2900002932416, 15130013, NO
1590151103907, 14842024, NO
2900001234399, 15130013, NO
1591016517778, 11111001, NO
1590142201148, 14721034, NO
1590142201148, 14721034, NO
2900002944495, 22002242, NO
1592015058781, 14870003, NO
1590142203104, 27002262, NO
1592015058781, 14721034, NO
1591015454814, 14802020, NO
1594140460286, 22102012, NO
2900000284333, 22000031, NO
2900000386440, 22000031, NO
2900000386440, 22171005, NO
2900000345300, 22021260, NO
2900000345300, 22021260, NO
18554652702, 22007008, NO
2900002932416, 22007008, NO
2900000452756, 22021260, NO
2900000178106, 11300123, NO
2900002930092, 11303144, NO
2900002930092, 11303144, NO
1590140306678, 10000011, NO
1591016440328, 10000011, NO
1596140594374, 10000011, NO
2900000840164, 14040008, NO
2900000245914, 30825018, NO
2900001465960, 11110004, NO
13325038116, 15120006, NO
1590142213981, 15120006, NO
1590142201162, 15120005, NO
2900000864498, 27400855, NO
2900000864498, 27400855, NO
1592015059993, 27400855, NO
1592015058781, 27400855, NO
1592015016880, 15120004, NO
1591015184407, 14900008, NO
1591015184407, 14900008, NO
1591015184407, 14900008, NO
1591015184407, 14900008, NO
15963883482, 14900005, YES
2900002932416, 14900005, NO
2900002932416, 14900005, NO
2900000386495, 14043011, NO
2900000448520, 15111010, YES
1590140306678, 22103013, NO
1590142213981, 15121002, NO
1590142213981, 15121002, NO
2900001270199, 30821027, NO
1590142194327, 11011033, NO
2900001215688, 15121001, NO
2900002930092, 14092069, NO
2900000941830, 14831031, NO
2900001215688, 15121000, NO
2900002933918, 14802056, NO
1590142516068, 24111015, NO
1590142213981, 14071000, NO
2900001215688, 14802056, NO
1590142203104, 25111051, NO
1591013877134, 14071000, NO
2900002969559, 25111051, NO
1590142203104, 25111051, NO
2900000337633, 11110004, NO
2900002937503, 11110004, NO
2900000124974, 11110004, NO
2900000138056, 14043012, NO
1591015184407, 30522023, NO
